20140901,285434695,297754931
20140902,301425674,298175150
20140903,263987304,293389162
20140904,244398866,264194246
20140905,217625200,239797653
20140906,210880092,212366370
20140907,249216840,250609314
20140908,325681596,300772307
20140909,327216895,299323354
20140910,298878342,297230420
20140911,225478770,237534268
20140912,229958143,227807613
20140913,208028872,213610471
20140914,271281531,247692400
20140915,324726092,309053527
20140916,322686578,300772307
20140917,290764384,304062687
20140918,217466054,238746059
20140919,234168380,232306493
20140920,208028872,213610471
20140921,277789426,270316782
20140922,321811105,309053527
20140923,319231796,309053527
20140924,281272640,301145871
20140925,214007668,218892279
20140926,203190532,213610471
20140927,208028872,213610471
20140928,271186463,245964123
20140929,324726092,309053527
20140930,322686578,309053527
